ESC000;Castillo de Edimburgo;Esta fortificación, centro de numerosas batallas, cuenta con los fantasmas de un baterista que sigue tocando su tambor sin cabeza y de  numerosos prisioneros que murieron en sus mazmorras. Incluso cuentan que se puede ver a un perro fantasmagórico vagando por el cementerio del castillo;Escocia;150;Ap-De-Ol-Ru
ESC001;Fortaleza de Inveraray;Ubicado en la zona de los Highlands, por sus pasillos se ha visto el fantasma de una joven asesinada y el de un soldado que murió durante un ataque a la fortaleza;Escocia;135;Ap-En-Ru
ESC002;Castillo de Duns;El fantasma que supuestamente habita en este castillo es el de una joven que, escapando de un matrimonio pactado, murió al caer al vacío. Desde entonces, el espíritu de esta joven merodea por las habitaciones del castillo;Escocia;150;Ap-De-En-Ob
ESC003;Castillo Hermitage;Se escuchan gritos, puertas que sin motivo se  abren o cierran. Incluso aseguran que se ve a un enano vestido con harapos y una mujer de majestuosa apariencia. Las apariciones son atribuidas a uno de sus primeros dueños, William de Soulis, ya que se dice que practicaba la magia negra;Escocia;175;Ap-En-Ru
ESC004;Castillo Pevensey;Lady Pelham defendía ferozmente su emplazamiento mientras su esposo moría en la batalla. Se dice que su fantasma, junto con su ejército, se aparece en los alrededores del lugar, y que,  aún hoy, se escuchan los sonidos de la feroz batalla;Escocia;130;Ap-Ru
ESP000;Castillo de Loarre;Ubicado en Huesca, se afirma que entre sus muros sigue deambulando la reina Isabel la católica;España;220;Ap
ESP001;Castillo del Buen Amor;Esta propiedad de los reyes católicos, ubicada en Salamanca, fue ofrecida como regalo al Arzobispo Alonso de Fonseca, que mantuvo un amor prohibido con Doña María de Ulloa. Se dice que las almas de los amantes continúan encerrados en el lugar: varias personas han sido testigos de diferentes apariciones y se han grabado diversas psicofonías en su interior;España;185;Ap-De-Ru
ESP002;Castillo de Cornatel;Ubicado en el Bierzo, este castillo fue sede de los caballeros templarios y espectador de muchas cruentas batallas. Los espíritus de los caballeros allí abatidos siguen vagando por sus alrededores;España;115;Ap-Ru
ESP003;Castillo de Gardeny;Ligado a la orden de los Templarios, dos guardianes espectrales continúan vigilando las puertas de este castillo situado en  Lérida;España;190;Ap-Ru
ING000;Torre de Londres;Entre sus huéspedes sin cuerpo físico podemos encontrar al de Ana Bolena, una de las esposas de Enrique VIII, que fue ejecutada en esta Torre por orden de su marido en 1536. Se dice que también el espíritu de la jovencísima Lady Jane Grey, ejecutada aquí con tan sólo 16 años, ronda por sus pasillos;Inglaterra;325;Ap-De-En-Ob-Ol-Ru
ING001;Castillo de Chillingham;El más conocido de los seres espectrales que habitan este castillo es Blue Boy. Cuentan que, a medianoche, se pueden escuchar claramente sus gritos y lamentos y que, cuando las terribles voces se van apagando, surge un halo de luz azulada que adquiere la forma de un niño;Inglaterra;190;Ap-En-Ru
ING002;Castillo Ripley;Por este castillo embrujado de Yorkshire deambula el espíritu de una monja que toca en las puertas de las habitaciones de los huéspedes;Inglaterra;110;Ap-Ru
ING003;Castillo de Hampton Court;Lugar de residencia del rey Enrique VIII, por sus aposentos vaga el espiritu de Catalina Howard quien fue mandada a ejecutar por el rey;Inglaterra;205;Ap-En-Ru
RUM000;Castillo de Bran;Ubicado en la región de Transilvania, es el castillo donde habitó el Conde Drácula;Rumanía;325;Ap-Ob-Ru
RUM001;Fortaleza de Poenari;Construida entre los siglos XIV y XVIII, el castillo fue al principio una fortaleza. Utilizado como cárcel en la época medieval, en sus húmedas mazmorras todavía se escuchan los lamentos de los encarcelados;Rumanía;170;Ru
